"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","ID_VIVT","ID_PERT","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"2804394.0004.01","2804394.0004.01.03","2804394","01","03","2804394.004","2804394.004.03","28","TAMAULIPAS","032","REYNOSA","0001","47","REYNOSA","0125","01",0,0,"-",5,"2","23","2","1","1","1","3","2","1","1","2","2","1","1","1","4","2","2","2","2","2","2","2","2","2","1","2","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","1","3","3","3","2","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","4",2,"3","3","3",1092,3277,"U","2","04848","0277"
"2804394.0025.02","2804394.0025.02.01","2804394","02","01","2804394.025","2804394.025.01","28","TAMAULIPAS","032","REYNOSA","0001","47","REYNOSA","0125","01",0,0,"-",5,"1","56","2","2","2","2","3","2","2","2","3","3","2","2","3","3","2","2","2","2","2","1","2","2","1","1","1","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","2","1","1","1","2","1","","","4","4","3","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","0","0","3",2,"2","2","3",1092,3277,"U","2","04848","0277"
"2804394.0047.03","2804394.0047.03.01","2804394","03","01","2804394.047","2804394.047.01","28","TAMAULIPAS","032","REYNOSA","0001","47","REYNOSA","0125","01",0,0,"-",5,"1","37","2","2","2","2","3","2","2","2","2","2","2","2","3","3","1","1","1","1","1","1","2","2","1","1","1","1","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","0","0","3",2,"1","2","4",1092,2185,"U","2","04848","0277"
"2804394.0067.05","2804394.0067.05.01","2804394","05","01","2804394.067","2804394.067.01","28","TAMAULIPAS","032","REYNOSA","0001","47","REYNOSA","0125","01",0,0,"-",5,"1","34","2","1","2","2","3","2","1","2","2","2","1","2","1","1","2","1","2","2","2","2","2","2","1","1","1","1","2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","2","1","1","1","1","1","","","1","2","3","2","3","2","2","2","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","2",2,"2","2","2",1092,2185,"U","2","04848","0277"
"2804394.0080.04","2804394.0080.04.02","2804394","04","02","2804394.080","2804394.080.02","28","TAMAULIPAS","032","REYNOSA","0001","47","REYNOSA","0125","01",0,0,"-",5,"2","59","1","1","1","1","3","3","1","3","3","2","2","2","3","1","2","2","2","2","2","1","2","2","2","2","2","3","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","2","1","1","1","2","2","","","2","2","1","2","1","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","3",2,"2","2","2",1092,2185,"U","2","04848","0277"
"2804449.0028.52","2804449.0028.52.03","2804449","52","03","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"2","37","2","1","1","1","3","1","1","2","2","3","1","2","2","3","2","2","2","2","1","1","2","1","2","2","2","1","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","1","","","3","4","4","4","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","1","1","1","1","0","0","0","3",2,"4","4","4",470,1410,"U","2","04849","0272"
"2804449.0064.54","2804449.0064.54.02","2804449","54","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"1","47","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","4","4","4","4","2","2","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","4",2,"1","1","4",470,940,"U","2","04849","0272"
"2804449.0121.51","2804449.0121.51.01","2804449","51","01","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",2,"1","69","1","1","1","1","3","3","1","1","3","1","1","1","1","2","2","1","2","1","1","2","2","2","2","2","2","2","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","1","1","1","","","4","4","4","4","2","2","1","1","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","4",2,"4","4","4",470,470,"U","2","04849","0272"
"2804506.0014.52","2804506.0014.52.02","2804506","52","02","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"2","60","2","2","3","2","3","3","2","2","2","2","2","2","2","1","2","1","2","2","2","1","2","2","1","1","2","3","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","4",1,"2","2","2",415,830,"U","2","04850","0272"
"2804506.0051.51","2804506.0051.51.01","2804506","51","01","-","-","28","TAMAULIPAS","027","NUEVO LAREDO","0001","48","NUEVO LAREDO","0125","01",0,0,"-",4,"1","41","1","1","1","1","3","3","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","2","2","1","2","0","1","1","0","0","0","0","0","1","0","0","0","0","0","2","1","1","1","1","1","","","3","2","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","1","0","1","1","0","0","1","0","0","0","3",2,"2","2","4",415,830,"U","2","04850","0272"
