"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"1903409.017","1903409.017.01","1903409","01","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","55","2","1","1","2","3","1","1","1","1","1","1","1","1","4","2","1","2","2","1","1","2","2","2","2","2","1","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","4","1","10","10","05",958,4792,"U","3","0003909","106",""
"1903409.042","1903409.042.01","1903409","02","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","60","2","1","1","2","3","2","2","3","3","2","2","2","1","9","2","1","1","2","2","1","2","2","2","2","1","3","3","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","4","3","2","2","3","4","1","1","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","2","10","00","00",958,958,"U","3","0003909","106",""
"1903409.070","1903409.070.02","1903409","03","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","24","2","1","1","2","3","2","1","1","1","2","1","1","2","2","1","2","1","1","1","2","2","2","1","1","2","3","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","1","3","3","3","3","2","2","1","2","1","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","3","2","03","03","03",958,1917,"U","3","0003909","106",""
"1903409.117","1903409.117.02","1903409","05","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","27","1","1","1","2","3","1","1","1","3","3","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","3","2","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","2","1","2","3","9","9","1","1","9","1","","","9","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","4","2","10","10","05",958,1917,"U","3","0003909","106",""
"1903450.006","1903450.006.01","1903450","01","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","62","1","1","1","1","3","1","1","1","1","3","1","1","1","3","2","1","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","1","1","2","1","2","3","2","4","1","3","2","3","","","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","2","07","06","03",969,1938,"U","3","0003910","106",""
"1903450.026","1903450.026.02","1903450","02","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"2","48","1","1","1","1","3","1","1","1","1","2","1","3","3","3","2","1","2","2","2","1","2","1","2","2","3","3","3","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","3","3","3","3","3","3","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3","2","08","08","08",969,1938,"U","3","0003910","106",""
"1903450.046","1903450.046.02","1903450","03","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"2","22","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","2","2","2","2","1","1","1","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","3","2","06","05","05",969,3876,"U","3","0003910","106",""
"1903450.066","1903450.066.01","1903450","04","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",3,"1","83","1","1","3","1","3","1","1","1","2","1","2","1","3","1","2","2","2","2","2","2","2","2","1","2","2","2","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","2","1","2","2","1","1","1","1","","","1","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","3","1","10","08","08",969,1938,"U","3","0003910","106",""
"1903459.038","1903459.038.02","1903459","02","02","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",1,"2","67","2","2","1","2","3","2","1","3","2","1","3","3","2","3","2","2","2","1","2","2","2","2","2","2","2","3","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","2","1","2","2","1","1","3","2","","","1","1","","","","","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","2","10","08","09",1354,5415,"U","2","0003911","105",""
"1903459.058","1903459.058.01","1903459","01","01","19","NUEVO LEON","026","GUADALUPE","0001","67","GUADALUPE","0124","01",0,0,"-",1,"1","80","1","1","3","3","3","3","3","1","3","3","1","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","2","2","2","2","2","1","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","10","05","07",1354,4061,"U","2","0003911","105",""
