"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","ID_VIVT","ID_PERT","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"0913512.0030.01","0913512.0030.01.01","0913512","01","01","0913512.030","0913512.030.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",5,"2","67","2","2","3","2","3","2","2","2","2","2","2","2","2","4","1","1","1","1","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","3","1","1","1","2","1","","","3","4","2","3","2","3","","","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2",378,756,"U","2","01516","0080",""
"0913512.0060.02","0913512.0060.02.01","0913512","02","01","0913512.060","0913512.060.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",5,"1","29","2","2","2","2","3","2","1","2","2","2","2","2","2","3","1","1","1","2","1","1","2","1","2","1","2","2","2","2","2","2","1","2","2","3","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","3",1,"1","2","1","2","2","2","2","2","2","2","2","2","2",378,756,"U","2","01516","0080",""
"0913512.0068.03","0913512.0068.03.02","0913512","03","02","0913512.068","0913512.068.02","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,1,"-",5,"2","76","1","1","3","1","3","1","2","2","2","2","1","2","2","4","1","1","1","1","1","1","2","2","2","2","1","1","2","2","2","2","2","2","2","3","1","1","2","2","2","","","4","9","2","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1",2,"1","2","2","","2","2","2","2","2","2","2","2","2",378,1134,"U","2","01516","0080",""
"0913512.0097.04","0913512.0097.04.01","0913512","04","01","0913512.097","0913512.097.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",5,"1","73","1","1","3","1","3","1","1","1","3","1","1","1","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","1","2","1","","","2","2","2","2","2","2","","","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1",1,"1","2","2","","2","2","2","2","2","2","2","2","2",378,1134,"U","2","01516","0080",""
"0913512.0139.05","0913512.0139.05.02","0913512","05","02","0913512.139","0913512.139.02","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",5,"2","63","2","1","1","1","3","1","1","2","2","2","2","2","2","4","1","1","1","1","1","2","2","1","2","2","2","1","2","2","2","2","2","2","2","3","1","1","1","2","1","","","2","2","3","2","1","2","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2",378,1134,"U","2","01516","0080",""
"0913515.0012.51","0913515.0012.51.04","0913515","51","04","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"1","50","2","2","2","2","3","2","2","2","2","2","2","2","2","3","1","1","1","2","1","1","2","2","1","1","2","1","2","2","2","2","2","2","2","3","1","1","1","1","1","","","4","4","2","2","2","2","3","9","2","2","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0","4",2,"2","","1","1","2","2","2","2","2","2","2","2","2",381,1142,"U","2","01517","0080",""
"0913515.0096.55","0913515.0096.55.03","0913515","55","03","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"1","22","1","1","3","2","1","1","1","1","1","2","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","3","2","1","1","2","1","","","","","1","1","1","1","","","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",1,"2","","2","","2","2","2","2","2","2","2","2","2",381,1142,"U","2","01517","0080",""
"0913518.0018.03","0913518.0018.03.02","0913518","03","02","0913518.018","0913518.018.02","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",4,"2","43","2","1","1","2","3","2","1","2","2","1","1","2","1","3","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","3","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","3",2,"2","","2","","2","2","2","2","2","2","2","2","2",418,1254,"U","2","01518","0080",""
"0913518.0052.04","0913518.0052.04.01","0913518","04","01","0913518.052","0913518.052.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",4,"2","44","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","3","1","1","1","1","1","","","1","1","1","1","2","4","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","",1,"2","","2","","2","2","2","2","2","2","2","2","2",418,836,"U","2","01518","0080",""
"0913518.0104.01","0913518.0104.01.08","0913518","01","08","0913518.104","0913518.104.08","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",4,"1","19","1","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","3","1","1","1","1","1","","","3","4","1","2","1","2","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1",2,"2","","2","","2","2","2","2","2","2","2","2","2",418,2090,"U","2","01518","0080",""
"0913518.0150.02","0913518.0150.02.01","0913518","02","01","0913518.150","0913518.150.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",4,"1","34","1","1","1","1","3","1","1","1","1","1","1","1","1","3","2","1","2","2","2","2","2","2","2","2","2","3","2","2","2","2","1","2","2","3","1","1","1","2","1","","","2","2","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2",418,836,"U","2","01518","0080",""
"0913518.0190.05","0913518.0190.05.03","0913518","05","03","0913518.190","0913518.190.03","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",1,1,"-",4,"1","39","2","1","1","2","3","1","1","2","2","2","1","2","1","3","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","1","2","1","","","3","2","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","1","0","1","0","1","0","1","1","0","0","0","0","3",9,"2","","2","","2","2","2","2","2","2","2","2","2",418,418,"U","2","01518","0080",""
"0913523.0011.51","0913523.0011.51.02","0913523","51","02","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"1","50","2","1","1","2","3","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","3","1","2","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","2","2","2","2","2","2","2","2","2","2","1","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","2",1,"1","2","2","","2","2","2","2","2","2","2","2","2",403,1612,"U","3","01547","0081",""
"0913523.0031.52","0913523.0031.52.01","0913523","52","01","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"2","77","2","1","3","1","3","1","3","3","3","1","1","2","1","4","2","2","1","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","1","3","2","2","1","2","2","","","","","","","2","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","3",1,"1","2","2","","2","2","2","2","2","2","2","2","2",403,403,"U","3","01547","0081",""
"0913523.0072.54","0913523.0072.54.02","0913523","54","02","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"2","38","1","1","1","1","3","1","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","3","1","1","1","1","1","","","2","3","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1",1,"2","","2","","2","2","2","2","2","2","2","2","2",403,806,"U","3","01547","0081",""
"0913523.0092.55","0913523.0092.55.02","0913523","55","02","-","-","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",1,"2","37","2","2","2","2","3","1","1","2","2","2","1","2","2","3","2","1","1","2","1","1","1","2","1","1","1","1","2","2","2","1","1","1","2","3","2","1","1","2","1","","","","","2","3","2","2","","","2","3","1","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","1","1","1","0","0","0","2",2,"1","2","2","","1","2","2","2","2","2","2","2","2",403,806,"U","3","01547","0081",""
"0913524.0057.02","0913524.0057.02.02","0913524","02","02","0913524.057","0913524.057.02","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",3,"2","49","2","1","1","2","3","2","2","2","2","2","1","2","1","4","2","1","1","2","1","1","2","1","3","2","2","2","2","2","2","1","2","2","2","3","1","1","1","1","1","","","3","3","2","2","3","3","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2",477,2384,"U","2","01519","0080",""
"0913524.0098.03","0913524.0098.03.01","0913524","03","01","0913524.098","0913524.098.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",3,"1","23","2","1","1","1","3","1","1","2","2","2","3","1","1","3","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","1","2","1","","","3","2","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","4",2,"1","2","2","","2","2","2","2","2","2","2","2","2",477,954,"U","2","01519","0080",""
"0913524.0130.05","0913524.0130.05.02","0913524","05","02","0913524.130","0913524.130.02","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",1,1,"-",3,"1","98","2","1","1","1","3","1","1","1","2","2","3","3","1","9","2","1","2","2","2","2","9","2","2","2","2","2","2","2","2","2","2","2","2","3","1","1","2","2","2","","","3","9","2","9","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","",2,"2","","2","","2","2","2","2","2","2","2","2","2",477,954,"U","2","01519","0080",""
"0913551.0024.02","0913551.0024.02.01","0913551","02","01","0913551.024","0913551.024.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",2,"1","56","2","1","1","2","3","2","2","2","2","2","1","2","3","3","2","1","1","2","1","2","2","1","1","1","2","3","3","2","2","2","2","2","2","3","2","1","1","2","1","","","","","3","2","2","2","","","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","3",2,"1","2","2","","2","2","2","2","2","2","2","2","2",481,1925,"U","3","01548","0081",""
"0913551.0064.03","0913551.0064.03.04","0913551","03","04","0913551.064","0913551.064.04","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",2,"1","82","1","1","3","3","3","3","3","3","3","3","3","3","3","2","2","2","9","9","2","2","2","2","3","3","3","3","3","2","2","2","2","2","2","3","9","1","2","1","1","","","","","2","1","","","2","1","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2",2,"1","2","2","","2","2","2","2","2","2","2","2","2",481,1925,"U","3","01548","0081",""
"0913551.0087.04","0913551.0087.04.01","0913551","04","01","0913551.087","0913551.087.01","09","CIUDAD DE MEXICO","011","TLAHUAC","0001","80","TLAHUAC","0224","01",0,0,"-",2,"1","71","9","1","3","1","3","3","3","2","2","2","3","3","2","3","2","2","2","2","2","2","2","2","1","2","2","2","3","2","1","2","2","2","1","3","2","1","1","2","2","","","","","2","2","2","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2",481,1444,"U","3","01548","0081",""
