"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","ID_VIVT","ID_PERT","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_6_7","BP1_6_8","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0915979.0157.54","0915979.0157.54.02","0915979","54","02","0915979.157","0915979.157.02","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",3,"1","64","2","2","1","2","3","2","1","2","2","2","1","2","2","4","1","1","1","1","1","1","2","2","1","1","1","3","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","3",2,"1","1","2","","2","2","2","2","2","2","2","2","2",555,1110,"U","3","3145","0083"
"0915979.0161.04","0915979.0161.04.05","0915979","04","05","0915979.161","0915979.161.05","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",4,"1","37","2","1","2","2","3","2","1","2","2","2","1","2","2","3","2","1","2","1","2","1","2","1","1","1","2","1","2","2","2","2","1","2","2","2","2","3","1","1","1","2","1","","","3","2","3","2","2","2","","","2","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","4",1,"2","","2","","2","2","2","2","2","2","2","2","2",434,1737,"U","2","0621","0085"
"0915979.0200.55","0915979.0200.55.07","0915979","55","07","0915979.200","0915979.200.07","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",1,1,"-",3,"1","19","2","2","2","2","2","2","2","2","2","2","2","2","2","4","2","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","3","3","2","3","2","3","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","0","0","1","0","1","0","1","1","0","0","0","0","3",2,"2","","2","","2","2","2","2","2","2","2","2","2",555,1665,"U","3","3145","0083"
"0915979.0219.05","0915979.0219.05.02","0915979","05","02","0915979.219","0915979.219.02","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",4,"2","53","1","2","3","2","3","2","1","3","3","2","1","1","2","4","1","1","1","2","1","1","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","3","2","1","1","1","1","","","","","3","3","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2",2,"1","2","2","","2","2","2","2","2","2","2","2","2",434,1303,"U","2","0621","0085"
"0915980.0041.51","0915980.0041.51.03","0915980","51","03","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"1","20","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","2","2","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2",2,"1","2","2","","2","2","2","2","2","2","2","2","2",382,1147,"U","3","3146","0083"
"0915980.0060.52","0915980.0060.52.01","0915980","52","01","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"2","80","2","2","3","2","3","3","3","2","3","1","1","1","2","4","2","1","1","1","1","1","2","2","1","2","2","3","2","2","2","2","2","2","1","2","2","3","2","1","1","2","1","","","","","3","3","2","2","","","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","3",2,"1","2","2","","2","2","2","2","2","2","2","2","2",382,764,"U","3","3146","0083"
"0915980.0080.53","0915980.0080.53.03","0915980","53","03","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"1","30","1","1","1","2","3","2","2","1","2","2","1","1","1","1","1","1","2","1","1","1","2","2","1","2","2","3","2","2","2","2","2","2","2","2","2","3","2","1","1","2","2","","","","","1","1","1","1","","","","","1","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1",2,"2","","2","","2","2","2","2","2","2","2","2","2",382,1147,"U","3","3146","0083"
"0915980.0099.54","0915980.0099.54.02","0915980","54","02","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"2","41","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","2","2","2","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2",382,1911,"U","3","3146","0083"
"0916016.0008.51","0916016.0008.51.02","0916016","51","02","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"2","50","1","1","1","1","3","1","1","1","2","1","1","2","1","4","2","1","1","2","1","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","3","2","1","1","2","2","","","","","1","2","1","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","2",2,"2","","1","1","1","2","2","2","2","2","2","2","2",425,1276,"U","2","3147","0085"
"0916016.0029.52","0916016.0029.52.02","0916016","52","02","-","-","09","CIUDAD DE MEXICO","013","XOCHIMILCO","0001","82","XOCHIMILCO","0424","01",0,0,"-",2,"2","50","2","1","1","2","3","2","1","2","2","2","2","2","2","3","1","2","1","2","2","2","2","1","1","1","1","3","2","2","2","2","2","2","2","2","2","3","1","1","1","1","1","","","3","3","3","3","3","3","3","3","3","3","1","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","4",1,"2","","2","","2","2","2","2","2","2","2","2","2",425,1276,"U","2","3147","0085"
