"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"0100071.002","0100071.002.01","0100071","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"1","69","2","1","1","1","3","1","1","1","3","2","2","2","1","3","1","1","1","1","1","2","2","2","1","1","2","1","2","2","2","2","2","2","2","1","1","1","1","1","3","3","3","3","2","1","2","2","2","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",1008,1008,"U","2","02571","00135",""
"0100071.023","0100071.023.03","0100071","01","03","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"1","28","1","1","1","1","3","2","1","2","2","1","3","2","1","3","1","1","1","1","1","2","2","1","2","2","2","2","2","2","1","2","2","2","1","1","1","1","1","1","3","3","3","3","1","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","3",1,"1","2","1","1","2","2","2","1","2","2","2","2","2","3",1008,5038,"U","2","02571","00135",""
"0100071.070","0100071.070.01","0100071","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"1","49","1","1","2","1","3","1","1","1","2","3","1","1","1","3","1","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","1","1","1","","","3","4","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","4",2,"2","","1","2","2","2","2","2","2","2","2","2","2","2",1008,1008,"U","2","02571","00135",""
"0100071.114","0100071.114.02","0100071","03","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"2","50","1","1","1","1","3","1","2","2","3","1","1","3","1","4","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","2","2","2","","","1","1","1","9","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","3",2,"1","2","2","","2","2","2","2","2","2","2","2","2","1",1008,2015,"U","2","02571","00135",""
"0100071.122","0100071.122.01","0100071","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",2,"2","28","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","2","2","1","2","","","2","1","","","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","3",1,"2","","1","2","1","2","2","1","2","2","1","2","2","3",1008,2015,"U","2","02571","00135",""
"0100107.015","0100107.015.04","0100107","04","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"1","20","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",756,3024,"U","3","02590","00136",""
"0100107.033","0100107.033.06","0100107","05","06","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",1,1,"-",4,"2","81","2","1","3","3","3","3","3","3","3","3","3","1","3","9","2","2","2","2","2","2","2","2","3","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3",2,"2","","2","","2","2","2","2","2","2","2","2","2","3",756,3780,"U","3","02590","00136",""
"0100107.048","0100107.048.02","0100107","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"2","46","2","1","1","1","3","1","1","1","2","1","1","2","2","4","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","3","2","3","3","9","2","2","2","","","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","3",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",756,756,"U","3","02590","00136",""
"0100107.067","0100107.067.01","0100107","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,1,"-",4,"1","49","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","9","2","1","1","9","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","2",1,"2","","2","","2","2","2","2","2","2","2","2","2","1",756,1512,"U","3","02590","00136",""
"0100134.017","0100134.017.04","0100134","02","04","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"2","20","1","1","1","1","3","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","3","3","2","2","2","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","0","1","1","0","1","1","1","0","0","0","0","0","2",2,"2","","2","","2","2","2","2","2","2","2","2","2","1",966,3865,"U","3","02591","00136",""
"0100134.067","0100134.067.01","0100134","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"1","67","2","2","3","1","3","1","1","1","1","3","1","2","1","1","1","1","2","1","1","2","2","2","2","2","2","2","3","2","2","2","2","2","2","1","1","1","1","1","1","2","9","9","9","2","1","2","2","2","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","3",1,"1","2","1","2","2","2","2","2","2","2","2","2","2","2",966,1932,"U","3","02591","00136",""
"0100134.091","0100134.091.01","0100134","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",4,"2","90","1","1","3","3","3","3","3","3","3","3","1","3","3","1","2","2","2","2","2","2","2","2","2","3","2","2","3","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","",2,"2","","2","","2","2","2","2","2","2","2","2","2","6",966,966,"U","3","02591","00136",""
"0100178.029","0100178.029.06","0100178","01","06","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0423","01",0,0,"-",3,"1","82","2","2","3","3","3","3","3","3","3","3","2","3","3","4","1","1","2","1","1","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","1","1","","","","","","","3","2","3","4","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","4",2,"2","","2","","2","2","2","2","2","2","2","2","2","6",1051,5255,"U","2","02572","00135",""
