"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","BP5_1","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"11","0100391.013","0100391.013.02","0100391","03","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",2,"2","24","1","1","3","1","1","1","1","3","3","3","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","3",1743,"U","3","00040","1380"
"12","0100391.069","0100391.069.02","0100391","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",2,"2","48","1","2","2","1","3","1","1","2","2","1","1","2","3","4","2","2","2","2","1","2","2","2","1","1","2","3","2","2","2","2","2","2","2","1","1","1","1","1","2","2","1","1","1","2","3","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","2","","2","","2","2","2","2","2","2","2","2","2","3",2614,"U","3","00040","1380"
"13","0100391.107","0100391.107.01","0100391","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",2,"1","36","1","1","1","1","3","3","1","2","2","3","1","1","3","1","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","3","3","2","1","1","2","3","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","","1","2","2","2","2","2","2","2","2","2","2","1",1743,"U","3","00040","1380"
"14","0100391.270","0100391.270.01","0100391","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",2,"1","29","1","1","1","1","3","3","1","1","1","3","1","1","3","2","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","1","1","1","1","1","2","3","3","2","2","3","3","3","2","2","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","2","1","2","1","1","2","2","2","2","2","2","2","2","2","2",871,"U","3","00040","1380"
"15","0100574.020","0100574.020.02","0100574","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"1","27","2","1","1","2","3","3","1","2","2","3","1","2","3","4","2","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","3","2","2","4","","4","4","4","3","","1","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","1","0","0","0","4","1","2","1","1","2","2","2","2","2","2","1","2","2","1",2547,"U","4","00050","1390"
"16","0100574.060","0100574.060.02","0100574","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"2","25","1","1","3","1","3","3","1","2","2","3","1","3","3","1","2","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","","2","2","2","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",2547,"U","4","00050","1390"
"17","0100574.098","0100574.098.02","0100574","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"2","59","1","1","1","1","3","1","1","1","1","3","1","1","1","2","2","2","2","2","2","2","2","2","2","3","2","3","2","2","2","2","2","2","1","1","1","1","1","2","2","2","1","2","","2","2","1","2","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2",5094,"U","4","00050","1390"
"18","0100574.111","0100574.111.02","0100574","04","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"1","86","2","1","3","2","3","2","2","2","2","3","2","2","3","4","2","2","2","2","2","1","2","2","1","1","1","3","2","2","2","2","1","2","2","2","2","2","1","2","","","","2","","","","","2","","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","1","1","1","0","1","0","0","0","4","1","1","1","2","2","2","2","2","2","2","2","2","2","3",2547,"U","4","00050","1390"
"19","0100586.019","0100586.019.03","0100586","05","03","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","18","1","1","3","1","1","1","1","1","3","3","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","","2","1","1","1","","2","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",2966,"U","4","00060","1390"
"20","0100586.027","0100586.027.02","0100586","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"2","58","1","1","1","1","3","1","1","1","2","3","2","1","3","2","2","2","1","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","1","1","1","1","1","2","4","3","2","1","","2","3","9","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","2","1","2","2","","2","2","2","2","2","2","2","2","2","1",1977,"U","4","00060","1390"
"21","0100586.044","0100586.044.01","0100586","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"1","38","1","1","1","1","3","2","1","1","1","3","1","1","1","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","1","1","1","1","2","2","2","1","1","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","0","1","0","0","0","1","0","1","0","0","0","0","3","1","2","2","","2","2","2","2","2","2","2","2","2","1",1977,"U","4","00060","1390"
"22","0100586.072","0100586.072.02","0100586","04","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",1,"1","23","1","1","1","1","3","1","1","1","1","3","1","1","1","2","2","1","2","2","1","2","2","2","1","2","2","3","3","2","2","2","2","2","2","1","1","1","1","2","3","2","3","1","","3","3","3","2","","1","0","0","0","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","1","0","1","1","0","1","1","0","0","0","3","1","2","1","1","2","2","2","2","2","2","2","2","2","1",3954,"U","4","00060","1390"
"23","0100595.003","0100595.003.01","0100595","01","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,0,"-",3,"1","32","1","1","1","1","1","1","1","1","1","3","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","1","2","2","2","1","1","1","1","1","2","2","2","1","1","2","2","2","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","3","2","","2","","2","2","2","2","2","2","2","2","2","1",2020,"U","2","00070","1370"
"24","0100595.063","0100595.063.02","0100595","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0221","01",0,1,"-",3,"2","34","2","1","3","2","3","2","2","2","2","3","3","3","1","1","1","1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","4","4","2","2","3","3","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","2","2","","2","","2","2","2","2","2","2","2","2","2","1",1010,"U","2","00070","1370"
