"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","BP4_2","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100169.0073.54","0100169.0073.54.01","0100169","54","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","4","2","33","1","1","1","1","3","1","1","1","1","1","1","2","1","9","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","1","0","1","1","0","0","1","0","0","0","2","1","1","1","2","2","1057","1057","U","3","00003","0003"
"0100169.0094.55","0100169.0094.55.01","0100169","55","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","4","2","79","2","1","3","3","3","3","3","3","3","3","1","3","3","9","2","2","2","2","2","2","2","2","2","3","2","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","9","2","9","9","9","2","1057","3171","U","3","00003","0003"
"0100254.0052.04","0100254.0052.04.02","0100254","04","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","54","1","1","1","2","3","2","2","3","3","2","2","3","2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","2","2","2","3","2","2","2","1","1","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","1","1","0","1","0","1","1","1","1","1","0","0","0","2","1","3","3","1","2","1191","4762","U","3","00004","0003"
"0100254.0074.01","0100254.0074.01.02","0100254","01","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","26","1","1","1","2","3","1","2","2","1","2","2","2","2","4","2","2","2","1","1","2","2","2","2","1","2","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","0","0","3","1","3","3","3","2","1191","2381","U","3","00004","0003"
"0100254.0104.02","0100254.0104.02.01","0100254","02","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","2","24","2","1","1","2","3","2","1","1","1","2","1","2","1","3","1","1","2","1","1","2","2","2","1","1","2","3","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","1","2","1","2","1","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","3","2","3","3","3","2","1191","1191","U","3","00004","0003"
"0100254.0139.03","0100254.0139.03.04","0100254","03","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","1","1","-","3","2","60","1","1","3","1","3","1","1","1","1","1","3","3","3","1","2","2","2","2","2","2","2","1","2","2","3","3","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","3","2","9","2","9","2","1","1","1","2","2","2","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","4","4","2","1191","1191","U","3","00004","0003"
"0100255.0047.54","0100255.0047.54.01","0100255","54","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","1","-","5","2","51","2","2","2","2","3","1","1","1","1","3","2","2","1","4","1","1","1","1","1","1","2","2","1","1","1","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","0","0","4","2","4","4","4","1","930","930","U","3","00005","0003"
"0100255.0081.51","0100255.0081.51.01","0100255","51","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","1","51","1","1","1","1","3","1","1","1","1","3","1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","0","0","1","1","0","1","0","0","0","2","1","2","1","1","2","930","3719","U","3","00005","0003"
"0100255.0115.52","0100255.0115.52.01","0100255","52","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","50","2","1","3","1","3","3","1","3","3","3","2","3","2","4","2","2","2","2","2","2","2","2","2","2","2","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","2","2","3","3","2","2","2","2","2","2","","","","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","0","1","0","0","0","3","1","2","2","2","2","930","1860","U","3","00005","0003"
"0100255.0141.55","0100255.0141.55.02","0100255","55","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","1","60","1","1","3","1","3","1","1","1","1","1","1","1","1","4","2","2","2","2","2","2","2","2","2","2","1","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","2","4","4","4","4","4","4","4","1","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","4","4","4","2","930","1860","U","3","00005","0003"
"0100259.0025.03","0100259.0025.03.04","0100259","03","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","2","2","21","1","1","1","1","3","1","1","1","1","2","1","1","1","9","2","2","2","2","2","2","2","2","2","2","2","2","2","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","2","2","2","2","2","2","2","2","2","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","2","2","2","2","2","1158","4631","U","3","00006","0003"
"0100259.0048.04","0100259.0048.04.02","0100259","04","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","2","2","28","1","1","3","1","3","1","1","2","1","2","1","2","1","2","1","1","2","1","2","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","3","2","2","2","2","2","1158","2315","U","3","00006","0003"
"0100259.0074.05","0100259.0074.05.04","0100259","05","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","2","1","19","1","1","1","1","3","1","1","1","1","1","1","1","1","4","1","1","1","1","1","2","2","1","2","1","2","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","2","2","2","2","2","2","1","2","1","2","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","3","1","3","3","2","2","1158","4631","U","3","00006","0003"
"0100259.0099.01","0100259.0099.01.03","0100259","01","03","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","2","2","19","1","1","2","2","1","1","1","2","2","2","1","2","1","4","2","1","2","1","1","1","2","2","1","1","2","2","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","2","1","3","2","3","2","1","1","1","1","","","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","1","0","1","1","1","0","1","0","0","0","3","2","3","2","4","2","1158","3473","U","3","00006","0003"
"0100259.0122.02","0100259.0122.02.01","0100259","02","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","2","1","54","1","1","1","1","3","1","1","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","2","2","1","2","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","3","2","3","3","9","9","1","2","9","9","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","2","2","2","2","2","1158","2315","U","3","00006","0003"
"0100275.0153.01","0100275.0153.01.02","0100275","01","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","3","1","34","1","1","1","2","3","1","1","1","1","1","1","1","1","2","2","1","1","1","2","2","2","1","2","2","2","2","2","0","0","1","0","0","0","0","0","0","1","1","0","0","0","2","1","1","1","2","2","","","1","1","1","1","1","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","2","1218","3653","U","2","00007","0002"
"0100295.0029.52","0100295.0029.52.01","0100295","52","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","1","32","2","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","2","2","2","2","2","2","1","2","2","2","2","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","3","2","2","2","2","2","1","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","2","2","2","2","1615","3230","U","2","00008","0002"
"0100295.0074.53","0100295.0074.53.02","0100295","53","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","1","1","-","5","1","49","1","1","1","2","3","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","1","1","1","2","2","1615","3230","U","2","00008","0002"
"0100295.0145.51","0100295.0145.51.01","0100295","51","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","40","2","2","1","2","3","2","2","2","2","2","1","2","9","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","1","1","1","1","1","0","0","0","2","1","2","2","2","1","1615","1615","U","2","00008","0002"
"0100295.0206.54","0100295.0206.54.01","0100295","54","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","34","1","1","1","1","3","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","1","1","1","2","1615","1615","U","2","00008","0002"
"0100295.0265.55","0100295.0265.55.01","0100295","55","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","5","2","55","1","1","1","1","3","1","1","3","3","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","2","1","1","1","2","","","","","1","1","1","2","1","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","3","1","2","2","2","2","1615","1615","U","2","00008","0002"
"0100363.0007.01","0100363.0007.01.01","0100363","01","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","1","1","50","1","1","1","1","3","1","3","3","3","1","3","3","1","4","1","1","1","1","1","2","2","2","2","2","2","2","2","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","1","1","1","1","2","4","4","2","1","4","4","1","1","2","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","2","1","1","3","2","1161","1161","U","2","00009","0002"
"0100363.0034.05","0100363.0034.05.02","0100363","05","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","1","1","26","1","1","1","2","3","2","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","1","1","1","2","1","","","2","2","1","1","1","1","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","2","4","4","4","2","1161","3482","U","2","00009","0002"
"0100363.0114.02","0100363.0114.02.03","0100363","02","03","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","1","2","21","1","1","3","2","3","2","1","1","2","1","1","1","1","3","1","2","2","1","1","2","2","1","1","1","2","1","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","2","1","1","1","2","1","","","2","2","1","1","1","1","","","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","0","1","1","0","0","0","1","1","1","0","1","0","0","0","2","2","2","2","2","2","1161","3482","U","2","00009","0002"
"0100363.0144.03","0100363.0144.03.01","0100363","03","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0126","01","0","0","-","1","1","34","2","2","1","1","3","1","1","1","1","1","1","2","1","4","1","1","1","1","1","2","1","1","1","1","1","1","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","1","1","1","1","1","3","2","2","2","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","3","1","2","2","2","1","1161","2322","U","2","00009","0002"
