"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVEGEO","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_1","BP1_6_2","BP1_6_3","BP1_6_4","BP1_6_5","BP1_6_6","BP1_6_7","BP1_6_8","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_7_6","BP1_8_1","BP1_9_1","BP1_8_2","BP1_9_2","BP1_8_3","BP1_9_3","BP1_8_4","BP1_9_4","BP1_8_5","BP1_9_5","BP1_8_6","BP1_9_6","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP3_3","BP3_4","BP3_5","BP3_6","BP4_1_1","BP4_1_2","BP4_1_3","BP4_1_4","BP4_1_5","BP4_1_6","BP4_1_7","BP4_1_8","BP4_1_9","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100146.0010.51","0100146.0010.51.02","0100146","51","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","5","2","25","1","1","1","1","3","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","2","1","2","","2","","2","2","2","2","2","2","2","2","2","996","1992","U","3","00039","0022"
"0100146.0046.53","0100146.0046.53.01","0100146","53","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","5","1","60","1","1","1","1","3","1","1","1","1","1","1","2","1","4","2","1","2","2","1","2","2","2","2","1","2","1","3","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","2","2","1","2","2","","2","2","2","2","2","2","2","2","2","996","2988","U","3","00039","0022"
"0100146.0064.54","0100146.0064.54.02","0100146","54","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","5","1","58","1","1","1","2","3","1","1","1","2","2","1","2","1","3","2","2","1","2","2","2","2","2","1","1","1","3","3","2","1","2","2","2","2","2","2","1","1","1","1","2","2","3","2","3","2","3","2","2","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","3","2","1","2","2","","2","2","2","2","2","2","2","2","2","996","2988","U","3","00039","0022"
"0100146.0084.55","0100146.0084.55.03","0100146","55","03","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","5","2","38","2","1","2","2","3","2","2","2","2","3","2","2","1","1","1","2","2","2","2","2","2","2","1","1","2","1","3","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","3","4","2","3","3","3","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","3","2","2","","2","","2","2","2","1","2","2","2","2","2","996","1992","U","3","00039","0022"
"0100152.0024.51","0100152.0024.51.02","0100152","51","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","2","31","2","2","1","2","3","2","1","2","2","3","1","2","2","4","1","1","2","1","1","2","2","2","1","3","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","3","1","2","1","1","1","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","1","1","0","1","0","1","0","0","0","2","2","1","2","2","","1","2","2","2","2","2","2","2","2","929","1859","U","2","00021","0001"
"0100152.0087.53","0100152.0087.53.09","0100152","53","09","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","1","2","-","4","1","29","1","1","1","1","3","1","1","1","1","1","1","2","1","1","2","1","1","1","2","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2","1","2","","2","","2","2","2","2","2","2","2","2","2","929","1859","U","2","00021","0001"
"0100152.0116.54","0100152.0116.54.04","0100152","54","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","2","21","1","1","1","2","1","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","3","2","2","1","2","1","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","0","3","2","2","","2","","1","2","2","2","2","2","2","2","2","929","3718","U","2","00021","0001"
"0100152.0148.55","0100152.0148.55.01","0100152","55","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","1","66","2","1","3","1","3","1","1","1","3","3","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","1","1","1","1","2","2","2","1","2","1","1","2","1","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","1","0","1","1","1","0","1","1","0","1","1","0","0","0","2","1","2","","2","","2","2","2","2","2","2","2","2","2","929","1859","U","2","00021","0001"
"0100169.0014.51","0100169.0014.51.02","0100169","51","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","3","2","56","1","1","3","1","3","1","1","1","1","1","1","3","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","1","1","2","2","1","1","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0","0","3","1","2","","2","","2","2","2","2","2","2","2","2","2","1028","3083","U","3","00037","0022"
"0100169.0038.52","0100169.0038.52.02","0100169","52","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","3","2","38","1","1","1","2","3","2","1","2","2","1","1","2","1","3","2","1","2","2","2","2","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","3","1","1","2","2","","1","2","2","2","2","2","2","2","2","1028","2055","U","3","00037","0022"
"0100169.0056.53","0100169.0056.53.07","0100169","53","07","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","1","-","3","1","60","2","1","1","1","3","1","1","3","3","1","3","1","1","3","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","3","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1028","3083","U","3","00037","0022"
"0100169.0094.55","0100169.0094.55.01","0100169","55","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","3","2","79","1","1","3","3","3","1","3","3","3","3","1","3","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","","","1","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","9","2","","2","","2","2","2","2","2","2","2","2","2","1028","3083","U","3","00037","0022"
"0100254.0030.05","0100254.0030.05.02","0100254","05","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","2","2","24","1","1","1","1","3","1","1","1","1","1","1","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","3","3","2","2","2","2","2","2","1","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0","3","2","2","","2","","2","2","2","2","2","2","2","2","2","1157","2315","U","3","00026","0022"
"0100254.0052.04","0100254.0052.04.02","0100254","04","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","2","2","54","2","1","1","2","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","1","1","1","1","3","2","2","2","2","2","2","2","2","2","1","1","1","2","1","","","3","3","3","2","1","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","3","1","2","","2","","2","2","2","2","2","1","2","2","2","1157","4630","U","3","00026","0022"
"0100254.0074.01","0100254.0074.01.02","0100254","01","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","2","2","26","1","1","1","2","3","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","2","2","2","1","2","1","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","1","0","0","0","2","1","2","","2","","2","2","2","2","2","2","2","2","2","1157","2315","U","3","00026","0022"
"0100254.0104.02","0100254.0104.02.01","0100254","02","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","2","2","24","2","1","1","2","3","2","1","2","2","2","1","1","1","3","2","1","1","2","2","2","2","2","1","1","1","3","3","2","1","2","2","1","2","1","2","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","1","2","","2","","1","2","2","2","2","2","2","2","2","1157","1157","U","3","00026","0022"
"0100254.0139.03","0100254.0139.03.01","0100254","03","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","2","2","72","2","2","3","2","3","3","3","1","1","3","1","3","3","4","1","1","1","1","1","2","2","1","2","1","2","3","3","2","1","1","2","2","1","1","2","1","1","2","2","2","2","3","3","3","3","","","","","","","","","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","2","1","2","1","2","2","2","2","2","2","2","2","2","2","1157","2315","U","3","00026","0022"
"0100255.0021.53","0100255.0021.53.01","0100255","53","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","1","58","2","2","1","2","3","1","1","1","3","1","1","1","2","4","1","1","1","1","1","1","1","1","2","1","1","3","3","2","1","1","2","2","2","2","2","1","1","1","1","1","1","4","4","4","3","3","2","3","2","3","3","3","2","1","0","1","0","0","0","1","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","3","2","2","","1","1","2","2","2","2","2","2","2","2","2","904","904","U","3","00042","0022"
"0100255.0047.54","0100255.0047.54.02","0100255","54","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","2","30","2","1","1","2","3","2","2","2","2","3","1","2","2","4","1","1","1","1","1","1","2","2","1","1","1","1","3","2","2","2","2","2","2","2","2","1","1","2","2","2","2","4","4","4","4","","","","","","","","","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","1","0","0","0","4","2","2","","2","","1","2","2","2","2","2","2","2","2","904","2712","U","3","00042","0022"
"0100255.0081.51","0100255.0081.51.01","0100255","51","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","1","50","1","1","1","1","3","1","1","1","1","3","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","1","1","2","2","","2","2","2","2","2","2","2","2","2","904","3616","U","3","00042","0022"
"0100255.0115.52","0100255.0115.52.01","0100255","52","01","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","2","50","1","1","3","1","3","1","1","1","2","1","1","2","1","4","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","1","1","1","1","2","2","3","3","3","3","2","2","2","2","","","","","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","0","1","0","0","0","1","0","0","0","2","1","2","","2","","2","2","2","1","2","2","2","1","2","904","1808","U","3","00042","0022"
"0100255.0141.55","0100255.0141.55.02","0100255","55","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","4","1","60","1","2","3","2","3","2","2","2","2","2","2","2","2","4","2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","2","","2","","2","2","2","2","2","2","2","2","2","904","1808","U","3","00042","0022"
"0100259.0025.03","0100259.0025.03.04","0100259","03","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","1","2","22","1","1","1","1","3","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","1","1","1","2","2","","","2","2","1","2","1","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","2","","2","","2","2","2","2","2","2","2","2","2","1126","4502","U","3","00028","0022"
"0100259.0048.04","0100259.0048.04.02","0100259","04","02","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","1","2","28","1","1","3","1","3","1","1","2","2","1","1","2","1","1","1","2","1","1","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","2","2","2","1","1","1","2","1","","","2","2","2","2","2","2","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","2","2","","2","","2","2","2","1","2","1","2","1","2","1126","2251","U","3","00028","0022"
"0100259.0074.05","0100259.0074.05.04","0100259","05","04","010010001","01","AGUASCALIENTES","001","AGUASCALIENTES","0001","01","AGUASCALIENTES","0425","01","0","0","-","1","1","18","1","1","3","1","3","1","1","2","2","1","1","1","1","4","1","1","1","1","2","2","2","1","1","1","2","3","3","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","1","0","0","0","1","1","0","0","1","0","1","0","0","0","3","2","2","","2","","2","2","2","2","2","2","2","2","2","1126","4502","U","3","00028","0022"
