"ID_VIV","ID_PER","UPM","VIV_SEL","R_INF","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","N_REN","NOM","C_RES","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","COD_SEL","I_NIV","I_ANIO","A_ESC","C_ACT","V_ACT","POS","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS"
"0100071.008","0100071.008.01","0100071","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","2","-","5","01","-","1","1","2","58","","","2","A","03","3","2","5","4","","904","0","U","2","00010","1360"
"0100071.008","0100071.008.02","0100071","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","2","-","5","02","-","1","2","1","59","","","1","A","03","3","2","1","","3","904","2713","U","2","00010","1360"
"0100071.008","0100071.008.04","0100071","05","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","2","-","5","04","-","1","3","2","21","","","2","A","06","3","2","7","","","904","0","U","2","00010","1360"
"0100071.030","0100071.030.01","0100071","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","01","-","1","1","2","68","","","2","A","04","3","2","1","","3","904","0","U","2","00010","1360"
"0100071.030","0100071.030.02","0100071","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","02","-","1","3","1","34","","","1","A","06","3","2","1","","4","904","1809","U","2","00010","1360"
"0100071.039","0100071.039.01","0100071","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","01","-","1","1","1","46","","","1","A","04","3","2","1","","2","904","1809","U","2","00010","1360"
"0100071.039","0100071.039.02","0100071","02","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","02","-","1","5","1","42","","","2","A","03","1","2","1","","3","904","0","U","2","00010","1360"
"0100071.076","0100071.076.01","0100071","04","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","01","-","1","1","1","76","","","1","A","02","3","2","6","4","","904","904","U","2","00010","1360"
"0100071.113","0100071.113.01","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","01","-","1","1","2","89","","","1","A","02","6","2","5","4","","904","3618","U","2","00010","1360"
"0100071.113","0100071.113.02","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","02","-","1","3","1","48","","","2","A","06","2","2","1","","2","904","0","U","2","00010","1360"
"0100071.113","0100071.113.03","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","03","-","1","5","2","48","","","2","A","08","5","2","1","","2","904","0","U","2","00010","1360"
"0100071.113","0100071.113.04","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","04","-","1","5","2","23","","","2","A","06","3","2","5","4","","904","0","U","2","00010","1360"
"0100071.113","0100071.113.05","0100071","03","01","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","5","05","-","1","5","1","17","","","","A","06","2","1","","","","904","0","U","2","00010","1360"
"0100075.042","0100075.042.01","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","01","-","1","1","1","32","","","2","A","02","5","2","1","","1","1185","0","U","3","00020","1370"
"0100075.042","0100075.042.02","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","02","-","1","2","2","33","","","1","A","03","1","2","1","","2","1185","2370","U","3","00020","1370"
"0100075.042","0100075.042.03","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","03","-","1","3","1","14","","","","A","03","1","1","","","","1185","0","U","3","00020","1370"
"0100075.042","0100075.042.04","0100075","01","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","04","-","1","3","1","12","","","","A","02","5","1","","","","1185","0","U","3","00020","1370"
"0100075.063","0100075.063.01","0100075","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","01","-","1","1","1","62","16","06","2","A","09","3","2","1","","2","1185","0","U","3","00020","1370"
"0100075.063","0100075.063.02","0100075","02","02","01","Aguascalientes","001","Aguascalientes","0001","01","Aguascalientes","0122","01","0","1","-","4","02","-","1","2","2","62","","","1","A","04","3","2","5","4","","1185","3556","U","3","00020","1370"
