"","ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","LOC","CD","NOM_CD","PER","R_DEF","H_MUD","S_MUD","TIPO_CUEST","N_ENT","SEXO","EDAD","BP1_1","BP1_2_01","BP1_2_02","BP1_2_03","BP1_2_04","BP1_2_05","BP1_2_06","BP1_2_07","BP1_2_08","BP1_2_09","BP1_2_10","BP1_2_11","BP1_2_12","BP1_3","BP1_4_1","BP1_4_2","BP1_4_3","BP1_4_4","BP1_4_5","BP1_4_6","BP1_4_7","BP1_4_8","BP1_5_1","BP1_5_2","BP1_5_3","BP1_5_4","BP1_5_5","BP1_6_01","BP1_6_02","BP1_6_03","BP1_6_04","BP1_6_05","BP1_6_06","BP1_6_07","BP1_6_08","BP1_6_09","BP1_6_10","BP1_6_11","BP1_6_12","BP1_6_13","BP1_6_99","BP1_7_1","BP1_7_2","BP1_7_3","BP1_7_4","BP1_7_5","BP1_8_1","BP1_8_2","BP1_8_3","BP1_8_4","BP1_8_5","BP1_9_1","BP1_9_2","BP1_9_3","BP1_9_4","BP1_9_5","BP2_1","BP2_2_01","BP2_2_02","BP2_2_03","BP2_2_04","BP2_2_05","BP2_2_06","BP2_2_07","BP2_2_08","BP2_2_09","BP2_2_10","BP2_2_11","BP2_2_12","BP2_2_13","BP2_2_14","BP2_2_15","BP2_2_16","BP2_2_17","BP2_2_18","BP2_3_1","BP2_3_2","BP2_3_3","BP2_3_4","BP2_3_5","BP2_3_6","BP2_3_7","BP2_4_01","BP2_4_02","BP2_4_03","BP2_4_04","BP2_4_05","BP2_4_06","BP2_4_07","BP2_4_08","BP2_4_09","BP2_4_10","BP2_4_11","BP3_1_01","BP3_1_02","BP3_1_03","BP3_1_04","BP3_1_05","BP3_1_06","BP3_1_07","BP3_1_08","BP3_1_09","BP3_1_10","BP3_1_11","BP3_1_12","BP3_1_13","BP3_1_14","BP3_1_15","BP3_1_16","BP3_1_99","BP3_2","BP3_2A","BP4_1_1","BP4_1_2","BP4_1_3","FAC_VIV","FAC_SEL","DOMINIO","EST","UPM_DIS","EST_DIS","REG_CD"
"19989","2600391.052","2600391.052.01","2600391","02","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",3,"1","43","2","1","1","1","3","1","1","1","1","1","1","1","1","3","2","1","2","2","2","1","2","2","2","2","2","1","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","3","3","2","2","2","3","3","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","0","1","0","0","1","1","1","1","1","0","0","0","3",2,"10","08","08",382,382,"U","3","04575","0262",""
"19990","2600391.079","2600391.079.03","2600391","03","03","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",3,"1","23","2","1","1","2","1","2","1","2","2","1","1","1","2","3","2","2","2","2","2","1","2","2","1","1","2","1","3","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","0","3",1,"09","08","07",382,1147,"U","3","04575","0262",""
"19991","2600391.126","2600391.126.03","2600391","05","03","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",3,"2","18","2","1","3","2","1","2","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","2","1","1","1","1","3","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","2","1","3","3","2","","2","3","3","2","","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","0","1","0","1","1","1","1","1","0","0","0","3",1,"04","04","04",382,1147,"U","3","04575","0262",""
"19992","2600400.002","2600400.002.01","2600400","01","01","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",5,"2","40","2","1","2","2","3","2","2","2","2","2","2","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","3","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","4","4","1","4","1","4","4","1","4","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","2",2,"10","07","00",454,908,"U","2","04576","0261",""
"19993","2600400.023","2600400.023.04","2600400","02","04","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",5,"1","26","2","1","1","2","3","1","1","2","2","1","1","1","1","3","1","1","1","1","1","1","2","1","2","2","2","2","3","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","3","3","2","2","2","3","3","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","0","3",2,"08","06","05",454,1817,"U","2","04576","0261",""
"19994","2600400.044","2600400.044.02","2600400","03","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",5,"2","49","2","2","3","2","3","2","2","3","3","2","1","2","2","4","2","2","2","2","2","1","2","2","3","1","9","1","3","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","1","3","3","3","2","2","2","2","2","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","2",1,"09","09","09",454,1362,"U","2","04576","0261",""
"19995","2600400.065","2600400.065.04","2600400","04","04","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",5,"2","22","2","1","3","2","1","3","3","1","2","3","1","3","3","3","2","2","2","2","2","1","2","2","2","3","2","1","3","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","2","3","2","2","2","","3","2","3","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","0","3",2,"06","06","05",454,1817,"U","2","04576","0261",""
"19996","2600400.085","2600400.085.03","2600400","05","03","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",5,"2","22","2","1","1","2","3","2","2","2","2","2","2","2","2","4","1","1","1","1","1","1","2","2","1","1","1","1","3","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","1","3","3","2","2","2","4","4","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","2",1,"07","07","05",454,1362,"U","2","04576","0261",""
"19997","2600408.001","2600408.001.02","2600408","03","02","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",1,"2","44","2","1","1","2","3","2","2","2","2","2","1","1","2","4","1","2","1","2","2","1","2","2","1","1","2","1","3","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","3","3","3","2","2","3","2","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","0","0","0","1","0","1","1","1","0","0","0","0","0","4",2,"04","02","01",405,809,"U","3","04577","0262",""
"19998","2600408.020","2600408.020.03","2600408","04","03","26","SONORA","018","CAJEME","0001","94","CIUDAD OBREGON","0123","01",0,0,"-",1,"1","22","2","1","1","1","3","1","1","1","1","1","1","3","1","4","1","1","1","1","2","1","2","2","1","2","2","1","3","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","3","4","2","2","2","3","4","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","1","0","0","0","0","0","1","0","1","1","1","0","0","0","4",1,"10","08","08",405,1214,"U","3","04577","0262",""
